"longitude","latitude","ind_land","trendMax"
-47.5,-89.0575942993164,1,2.32499695171877
-46.25,-89.0575942993164,1,2.29874901848671
-45,-89.0575942993164,1,2.64651201395488
-43.75,-89.0575942993164,1,2.20397961386845
-42.5,-89.0575942993164,1,2.36219483047656
-41.25,-89.0575942993164,1,2.6646229693328
-40,-89.0575942993164,1,2.66589470891803
-38.75,-89.0575942993164,1,2.80606160106296
-37.5,-89.0575942993164,1,2.98126563148024
-36.25,-89.0575942993164,1,2.41372383762582
-35,-89.0575942993164,1,2.11590020959153
-33.75,-89.0575942993164,1,2.3830458492644
-32.5,-89.0575942993164,1,2.49415627316804
-31.25,-89.0575942993164,1,2.42444500561371
-30,-89.0575942993164,1,2.49235649048051
-28.75,-89.0575942993164,1,2.04933980027868
-27.5,-89.0575942993164,1,2.53847895300877
-26.25,-89.0575942993164,1,2.59290961584748
-25,-89.0575942993164,1,2.59598638778342
-23.75,-89.0575942993164,1,1.98646397654733
-22.5,-89.0575942993164,1,2.48706891504678
-21.25,-89.0575942993164,1,2.72056805568717
-20,-89.0575942993164,1,2.93562610319406
-18.75,-89.0575942993164,1,2.71113182097421
-17.5,-89.0575942993164,1,2.83076592473839
-16.25,-89.0575942993164,1,2.83830190307859
-15,-89.0575942993164,1,2.89635841437416
-13.75,-89.0575942993164,1,2.85355323483833
-12.5,-89.0575942993164,1,3.00007034200937
-11.25,-89.0575942993164,1,2.78352285034425
-10,-89.0575942993164,1,2.82626157470745
-8.75,-89.0575942993164,1,3.02765360180558
-7.5,-89.0575942993164,1,2.82574463933598
-6.25,-89.0575942993164,1,2.84147156971563
-5,-89.0575942993164,1,2.79173577448371
-3.75,-89.0575942993164,1,2.48333638717708
-2.5,-89.0575942993164,1,2.49750581899075
-1.25,-89.0575942993164,1,2.49245578212207
0,-88.1151809692383,1,2.83879149500611
1.25,-88.1151809692383,1,2.74278763731731
2.5,-88.1151809692383,1,2.80516635966913
3.75,-88.1151809692383,1,3.05538160976373
5,-88.1151809692383,1,2.86375345198375
6.25,-88.1151809692383,1,3.00895009504739
7.5,-88.1151809692383,1,2.94935517170945
8.75,-88.1151809692383,1,2.99138124561107
10,-88.1151809692383,1,3.05484258061143
11.25,-88.1151809692383,1,2.9621577094481
12.5,-88.1151809692383,1,3.0031944130623
13.75,-88.1151809692383,1,3.20734665045619
15,-88.1151809692383,1,3.1315145712014
16.25,-88.1151809692383,1,3.13074528695669
17.5,-88.1151809692383,1,3.27432906662963
18.75,-88.1151809692383,1,3.27547736959912
20,-88.1151809692383,1,3.31527193686113
21.25,-88.1151809692383,1,3.25017138585653
22.5,-88.1151809692383,1,3.1991064524047
23.75,-88.1151809692383,1,3.03737528260565
25,-88.1151809692383,1,3.08125935483004
26.25,-88.1151809692383,1,3.26373281281138
27.5,-88.1151809692383,1,3.17243021966983
28.75,-88.1151809692383,1,3.0542256582784
30,-88.1151809692383,1,2.92572972333951
31.25,-88.1151809692383,1,2.88323196199071
32.5,-88.1151809692383,1,2.69638835066517
33.75,-88.1151809692383,1,2.65594974360499
35,-88.1151809692383,1,2.73837819841463
36.25,-88.1151809692383,1,2.34467604405292
37.5,-88.1151809692383,1,2.3925550925375
38.75,-88.1151809692383,1,2.76597778083894
40,-88.1151809692383,1,1.1033976987925
41.25,-88.1151809692383,1,1.4354881378751
42.5,-88.1151809692383,1,0.983837750865725
43.75,-88.1151809692383,1,2.47020054797852
45,-88.1151809692383,1,1.8902548083577
46.25,-88.1151809692383,1,2.09125359744472
47.5,-88.1151809692383,1,2.5993489360831
48.75,-88.1151809692383,1,2.57229916026517
50,-88.1151809692383,1,2.6036717381611
51.25,-88.1151809692383,1,2.51334278370038
52.5,-88.1151809692383,1,2.89402367015378
53.75,-88.1151809692383,1,2.71544224636286
55,-88.1151809692383,1,2.64200853307364
56.25,-88.1151809692383,1,2.7070500514425
57.5,-88.1151809692383,1,2.88682367025397
58.75,-88.1151809692383,1,2.95424250378688
60,-88.1151809692383,1,2.84858787051634
61.25,-88.1151809692383,1,2.81627857541136
62.5,-88.1151809692383,1,2.82200501920625
63.75,-88.1151809692383,1,3.14856891888477
65,-88.1151809692383,1,2.77273917312251
66.25,-88.1151809692383,1,2.90471662554823
67.5,-88.1151809692383,1,3.16278688400795
68.75,-88.1151809692383,1,2.69793326394598
70,-88.1151809692383,1,2.75230722346964
71.25,-88.1151809692383,1,2.94044185211683
72.5,-88.1151809692383,1,2.85315326960985
73.75,-88.1151809692383,1,2.97259124109197
75,-88.1151809692383,1,2.98410627287319
76.25,-88.1151809692383,1,2.856361057145
77.5,-88.1151809692383,1,2.67423449412207
78.75,-88.1151809692383,1,2.9290815463341
80,-88.1151809692383,1,2.89814458618033
81.25,-88.1151809692383,1,2.93010104134399
82.5,-88.1151809692383,1,2.88584033186429
83.75,-88.1151809692383,1,2.9041997249427
85,-88.1151809692383,1,2.9362296753903
86.25,-88.1151809692383,1,2.88809824326667
87.5,-88.1151809692383,1,3.17015226567945
88.75,-88.1151809692383,1,2.66607451857186
90,-88.1151809692383,1,2.84244270524604
91.25,-88.1151809692383,1,2.94691454769404
92.5,-88.1151809692383,1,2.84980137708318
93.75,-88.1151809692383,1,2.90117492814847
95,-88.1151809692383,1,2.8558332052554
96.25,-88.1151809692383,1,3.0995721788769
97.5,-88.1151809692383,1,2.9162508481508
98.75,-88.1151809692383,1,2.82428923107326
100,-88.1151809692383,1,2.84592244966776
101.25,-88.1151809692383,1,2.56533136235249
102.5,-88.1151809692383,1,2.79895797246242
103.75,-88.1151809692383,1,2.83561750000433
105,-88.1151809692383,1,2.79069907031313
106.25,-88.1151809692383,1,2.79904805111927
107.5,-88.1151809692383,1,2.78239224325908
108.75,-88.1151809692383,1,2.67427989849328
110,-88.1151809692383,1,2.58562857644598
111.25,-88.1151809692383,1,2.76569800160674
112.5,-88.1151809692383,1,2.74185665649487
113.75,-88.1151809692383,1,2.79334519604225
115,-88.1151809692383,1,2.47516446951219
116.25,-88.1151809692383,1,2.76091691436729
117.5,-88.1151809692383,1,2.55053866341425
118.75,-88.1151809692383,1,2.66279172343252
120,-88.1151809692383,1,2.62599742556523
121.25,-88.1151809692383,1,2.47052515794313
122.5,-88.1151809692383,1,2.5245668416034
123.75,-88.1151809692383,1,2.41178238356571
125,-88.1151809692383,1,2.50584720342993
126.25,-88.1151809692383,1,2.34431070574157
127.5,-88.1151809692383,1,2.47624972437526
128.75,-88.1151809692383,1,2.31148355396651
130,-88.1151809692383,1,2.20888080018938
131.25,-88.1151809692383,1,2.19918004850989
132.5,-88.1151809692383,1,2.26833580783674
