"longitude","latitude","elevation","logElev","Xelevation","XlogElev","lcc_x","lcc_y"
-98.625,27.875,162.3,5.56948888687283,162.3,5.14923714353388,-111.160337837824,-28.7202955449813
-98.375,27.875,145.8,5.50451819713193,145.8,5.04857313343665,-110.911552786972,-28.7281228541663
-98.125,27.875,80.7,5.19683819759818,80.7,4.50755735712109,-110.66274714478,-28.7352657324149
-97.875,27.875,30.6,4.87213921684233,30.6,3.70376806660769,-110.413922794178,-28.7417241256707
-97.625,27.875,12.9,4.72650247115562,12.9,3.13113691056019,-110.165081618236,-28.7474979850573
-82.375,27.875,1.4,4.61907309115708,1.4,2.43361335540045,-95.0287040661179,-27.8066000597013
-82.125,27.875,11.2,4.71133038181648,11.2,3.05400118167797,-94.7824936092932,-27.7700531139135
-81.875,27.875,43.8,4.96842344528695,43.8,3.98527346716774,-94.5363846238275,-27.7328289877409
-81.625,27.875,37.5,4.92362391710663,37.5,3.8607297110406,-94.2903789722428,-27.6949279628913
-81.375,27.875,23.1,4.81299703319041,23.1,3.49953328238302,-94.0444785162791,-27.6563503261947
-81.125,27.875,17.4,4.765586907394,17.4,3.31054301339402,-93.7986851168802,-27.617096369602
-80.875,27.875,14.7,4.74232002413533,14.7,3.20680324363393,-93.5530006341798,-27.5771663901821
-80.625,27.875,7.2,4.6746962486367,7.2,2.84490938381941,-93.3074269274871,-27.5365606901201
-99.875,28.125,223.6,5.77950818518434,223.6,5.45361025095407,-112.39078170694,-28.3897324635043
-99.625,28.125,229.3,5.79696918938232,229.3,5.47771799491433,-112.142901370757,-28.4009459431651
-99.375,28.125,180.7,5.63728648336784,180.7,5.25070151260637,-111.894991124542,-28.4114774679234
-99.125,28.125,109,5.34233425196481,109,4.77912349311153,-111.647052844448,-28.4213269580779
-98.875,28.125,83.9,5.21439213161028,83.9,4.54223038621422,-111.399088406841,-28.4304943390889
-98.625,28.125,109.4,5.34424629843644,109.4,4.7824792009585,-111.151099688285,-28.4389795415787
-98.375,28.125,162.2,5.5691075713296,162.2,5.14865659199363,-110.903088565528,-28.4467825013325
-98.125,28.125,76.8,5.17501915020354,76.8,4.4636066216663,-110.655056915486,-28.4539031592984
-97.875,28.125,28.2,4.85359154448657,28.2,3.64283551561253,-110.407006615233,-28.4603414615882
-97.625,28.125,30.8,4.8736694390231,30.8,3.70868208141012,-110.158939541981,-28.4660973594776
-97.375,28.125,8.6,4.68767140749983,8.6,2.92316158071916,-109.910857573071,-28.4711708094067
-82.625,28.125,10.6,4.70592008908823,10.6,3.02529107579554,-95.3151925290551,-27.5638843128973
-82.375,28.125,15.2,4.74666974826179,15.2,3.22684399451738,-95.069648692994,-27.5281264079723
-82.125,28.125,28.4,4.85515039125586,28.4,3.64805745959368,-94.8242041551382,-27.4916931535337
-81.875,28.125,43.6,4.96703165661412,43.6,3.98154906807676,-94.5788607729813,-27.4545848253037
-81.625,28.125,54.9,5.04277974742282,54.9,4.17284762371004,-94.3336204032512,-27.4168017041136
-81.375,28.125,17.9,4.76983680754333,17.9,3.32862668882732,-94.0884849018963,-27.3783440759013
-81.125,28.125,21.5,4.7999142627806,21.5,3.44998754583159,-93.8434561240715,-27.3392122317092
-80.875,28.125,7.9,4.68120487226409,7.9,2.88480071284671,-93.5985359241237,-27.2994064676824
-80.625,28.125,0.8,4.61313835563727,0.8,2.37954613413017,-93.3537261555784,-27.2589270850658
-100.125,28.375,220.6,5.77019424017545,220.6,5.44068460783496,-112.62476113226,-28.096933081787
-99.875,28.375,213.8,5.74875584029893,213.8,5.41075279587782,-112.377685394331,-28.1087913408032
-99.625,28.375,169.3,5.59582599981755,169.3,5.18906038061109,-112.130577969555,-28.1199698559063
-99.375,28.375,164.9,5.57935239627802,164.9,5.16421438202456,-111.883440728007,-28.1304685424987
-99.125,28.375,123.1,5.40762010143849,123.1,4.89110072540107,-111.636275539994,-28.1402873211276
-98.875,28.375,129.1,5.43415858945945,129.1,4.9351930989294,-111.389084276028,-28.1494261174858
-98.625,28.375,105.3,5.32447232402489,105.3,4.74753742727501,-111.141868806824,-28.1578848624119
-98.375,28.375,50.1,5.01130173863942,50.1,4.09600984154116,-110.894631003276,-28.1656634918913
-98.125,28.375,40,4.9416424226093,40,3.91202300542815,-110.647372736449,-28.1727619470563
-97.875,28.375,105.6,5.32593253358101,105.6,4.75013595623828,-110.400095877564,-28.1791801741866
-97.625,28.375,56.2,5.05113723740559,56.2,4.19268046294296,-110.15280229798,-28.18491812471
-97.375,28.375,26.1,4.83707524297087,26.1,3.58629286533884,-109.905493869184,-28.1899757552022
-97.125,28.375,14.3,4.73882657080077,14.3,3.1904763503465,-109.658172462775,-28.1943530273879
-96.875,28.375,6.3,4.6662652853479,6.3,2.79116510781272,-109.410839950452,-28.1980499081404
-96.625,28.375,3.2,4.63666885304746,3.2,2.58021682959233,-109.163498203994,-28.201066369482
-82.625,28.375,9.1,4.69226489283902,9.1,2.94968833505258,-95.3553393169052,-27.285518253088
-82.375,28.375,24.7,4.82591085268599,24.7,3.54673968695281,-95.1105611068494,-27.2498718442703
-82.125,28.375,23.8,4.8186673602505,23.8,3.52046080248897,-94.8658818853789,-27.2135521917347
-81.875,28.375,32.3,4.88507207112091,32.3,3.74478708605223,-94.6213035041954,-27.1765595703438
-81.625,28.375,33.4,4.89335213348152,33.4,3.77045944110636,-94.3768278142374,-27.138894260053
-81.375,28.375,25.8,4.83469334426634,25.8,3.57794789340665,-94.1324566656665,-27.1005565459087
-81.125,28.375,20.8,4.79413628550071,20.8,3.42751468997953,-93.8881919078526,-27.0615467180459
-80.875,28.375,3,4.63472898822964,3,2.56494935746154,-93.6440353893612,-27.0218650716861
-100.375,28.625,244.4,5.84180377255358,244.4,5.53890783146597,-112.857172748823,-27.8037464914386
-100.125,28.625,203.7,5.7160403720517,203.7,5.3645731623251,-112.610902680283,-27.8162452182735
-99.875,28.625,174.8,5.61604356034819,174.8,5.21927415920758,-112.364599159935,-27.8280664151477
-99.625,28.625,177.7,5.62654139431275,177.7,5.23484494359246,-112.118264051773,-27.8392099925999
-99.375,28.625,183,5.64544689764324,183,5.26269018890489,-111.871899220032,-27.8496758662968
